Id,SalePrice
1461,102091.32413090604
1462,155253.92659031707
1463,171421.8639388357
1464,181911.7022365534
1465,202771.00542798388
1466,169079.32892667007
1467,171651.66740017227
1468,157917.1168940442
1469,206905.16294563533
1470,115256.98859903672
1471,183262.6638805435
1472,99931.79852916625
1473,97260.61723361122
1474,145229.30513017473
1475,112268.5739180098
1476,362244.9892277166
1477,256746.2977346716
1478,300240.66394407686
1479,303255.46563436755
1480,463412.014563369
1481,309382.1850504918
1482,213988.9286431868
1483,175523.8371522841
1484,170039.8620368938
1485,192314.63356478905
1486,195376.37029481822
1487,330567.253863987
1488,238596.37424510653
1489,200897.12891232639
1490,242759.08231491712
1491,199022.3315747585
1492,79657.61062477117
1493,193820.59750385967
1494,300048.68834929983
1495,289623.943205851
1496,244002.40712894796
1497,171294.78252992113
1498,160765.76767377346
1499,160614.79698154572
1500,150415.37592539217
1501,199815.32522939175
1502,151439.1527856066
1503,277397.01838843967
1504,241890.28185055332
1505,222669.0917705052
1506,200132.1796446139
1507,251994.24704299017
1508,211365.10822672577
1509,165956.1865828353
1510,144849.08709469193
1511,142628.42468290517
1512,173150.24265155048
1513,159581.80115420246
1514,157947.6938602507
1515,199321.6829588191
1516,151338.80465094073
1517,172187.97121666037
1518,120912.00983893192
1519,221286.90581007948
1520,133488.32570047272
1521,126687.70299655868
1522,186080.3356481602
1523,100152.4235550285
1524,115734.60983824769
1525,113098.93262575126
1526,95026.58595669433
1527,94055.38166982013
1528,125637.77695303063
1529,153544.26354297463
1530,191344.24520210287
1531,141600.97010582086
1532,94016.07445765391
1533,148041.51909231406
1534,126699.3928251239
1535,142178.0979862564
1536,96419.67942992989
1537,49030.03218716438
1538,155144.20530018807
1539,206880.00282854942
1540,129145.34416697979
1541,154987.93972261038
1542,152358.13146421692
1543,192606.14829793296
1544,70515.19861154124
1545,115516.26898607792
1546,153669.27416231358
1547,142869.76044754204
1548,141177.81132763592
1549,117011.82854215597
1550,143849.49076155637
1551,109797.17006553608
1552,159118.32274849823
1553,150045.09371403238
1554,119281.67407363653
1555,162029.32220362962
1556,93751.63732942629
1557,110014.26187367919
1558,102825.74034132693
1559,102725.05126760858
1560,123418.06612052214
1561,150453.87261357714
1562,132187.55456719603
1563,123030.22166146446
1564,154352.2555241341
1565,148664.5831544755
1566,229550.23897129542
1567,59628.548975964324
1568,221958.04828257396
1569,145057.91258128264
1570,145611.90039114462
1571,91228.29624524982
1572,145372.81367205374
1573,263082.2557959654
1574,137119.48832093854
1575,226916.58245891883
1576,218973.56133420288
1577,186805.59797806127
1578,151426.18195278672
1579,129867.01793705
1580,197790.49506887308
1581,145969.47918136
1582,129407.72636471165
1583,275450.27743651654
1584,222089.02582397516
1585,139276.678112616
1586,52700.14949142806
1587,94123.12579813361
1588,149194.37023448484
1589,89076.0203273869
1590,136347.10577819787
1591,88459.71393939808
1592,114726.15465988597
1593,122802.78298311781
1594,152608.8285887126
1595,123371.74578357369
1596,248271.5330388585
1597,208126.43999298962
1598,219077.72800404453
1599,191133.6883598063
1600,180262.3233631377
1601,33822.06585760732
1602,118662.53743764614
1603,85763.45967179076
1604,274457.02771017666
1605,238484.2043039782
1606,160014.0593823847
1607,175538.26115942386
1608,206418.91388607604
1609,188613.2367705529
1610,137639.14913881943
1611,135674.52931153448
1612,191711.76422177596
1613,156523.32020495346
1614,127916.58410258559
1615,77679.22135502423
1616,71779.10351401352
1617,74045.08469558951
1618,117429.09018853011
1619,124890.21079778242
1620,184667.40622663338
1621,126250.24758351617
1622,144538.26117347574
1623,263753.82418034074
1624,209875.57842890534
1625,122786.14849268015
1626,179840.84738679297
1627,184378.74297129945
1628,277135.3655395001
1629,175907.5910782482
1630,329405.9537818761
1631,232440.82127310213
1632,238542.5765043773
1633,177791.68817437798
1634,186661.00655748617
1635,180022.52128266395
1636,150994.2845082309
1637,183733.89226381035
1638,184221.89068091733
1639,177109.48857986098
1640,242875.59083884954
1641,187056.8646991263
1642,260084.89368194705
1643,218710.30543111675
1644,230873.95471560693
1645,176414.2492851784
1646,169315.64148363733
1647,170958.69709605756
1648,134495.45547930495
1649,134432.45932861668
1650,104606.32040248369
1651,111804.24918408088
1652,109192.9131561006
1653,102997.83894728271
1654,147948.67977323657
1655,146913.3738158526
1656,140256.07945911417
1657,152925.95491962042
1658,147493.28916552218
1659,129076.12189436774
1660,150311.01196082853
1661,405515.17230005143
1662,373801.07593398186
1663,373012.6242622958
1664,447458.36112235696
1665,324859.52920613025
1666,332101.93140097917
1667,359428.804938752
1668,353463.92574942356
1669,313967.25270425226
1670,355328.0304459084
1671,261922.22982389707
1672,402174.68439374235
1673,284135.97570840665
1674,244905.72251838597
1675,199343.60905022794
1676,200144.58637786296
1677,212082.37918743293
1678,448921.7351051208
1679,375342.1715350827
1680,338483.6137154682
1681,284252.3229200721
1682,314348.3462184129
1683,191340.89767161975
1684,172359.28701472978
1685,177690.7439458437
1686,172585.01920359343
1687,175971.75348681753
1688,190630.92006138107
1689,193196.2923609087
1690,201224.20271900683
1691,191063.38331832044
1692,266450.76502467244
1693,179184.05589827057
1694,181794.0752615148
1695,168218.12592469613
1696,256130.7274209527
1697,173103.9872555317
1698,334956.0349285114
1699,314953.43684017786
1700,269445.68635182537
1701,291902.9590333641
1702,228053.53882008034
1703,220483.0625707731
1704,269374.37267516064
1705,257258.84319861198
1706,390742.67740377586
1707,235705.68347744277
1708,202710.91919144994
1709,255500.6649714235
1710,228043.303584314
1711,274711.6247661136
1712,255317.80073059557
1713,268498.26132694446
1714,225418.25322942436
1715,215789.9846527542
1716,180261.7607309064
1717,182031.77590156015
1718,146023.84506676206
1719,222177.4944329428
1720,246386.20520919276
1721,158189.35581736884
1722,120626.85154989263
1723,149808.5794798623
1724,211748.81116162334
1725,235237.39642980165
1726,183383.94527603695
1727,150122.52174008667
1728,167825.16163817685
1729,154663.35995005522
1730,153307.56166878308
1731,120470.64222948815
1732,126387.24181138226
1733,118614.62158664179
1734,122266.08110678126
1735,123776.73086816035
1736,94340.24455381902
1737,282838.07479599654
1738,248654.3650290497
1739,262628.46954732743
